Area,Region,Product_Category,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
Bosnia and Herzegovina,Europe,Sugar Crops,97.55,60.09,153.03,7.97,32.63,29.0,1996.0,2024.0
Bosnia and Herzegovina,Europe,Vegetables,93.08,11.8,351.85,65.26,45.77,417.0,1996.0,2024.0
Botswana,Africa,Aggregates,66.4,14.92,119.3,98.37,150.24,68.0,1991.0,2024.0
Botswana,Africa,Cereals,57.42,5.92,160.68,47.79,255.75,149.0,1991.0,2024.0
Botswana,Africa,Dairy & Eggs,79.14,40.5,119.3,10.21,4.85,68.0,1991.0,2024.0
Botswana,Africa,Fruits,92.98,49.71,151.51,9.92,,28.0,2011.0,2024.0
Botswana,Africa,Oilseeds,86.59,29.51,155.25,28.43,32.9,102.0,1991.0,2024.0
Botswana,Africa,Pulses,42.62,4.71,113.36,65.49,434.28,68.0,1991.0,2024.0
Botswana,Africa,Vegetables,92.98,49.71,151.51,13.35,,14.0,2011.0,2024.0
Brazil,Americas,Aggregates,69.76,0.0,259.11,445.38,269.83,68.0,1991.0,2024.0
Brazil,Americas,Beverages,77.38,0.0,300.81,790.86,1408.41,102.0,1991.0,2024.0
Brazil,Americas,Cereals,87.66,0.0,474.55,175.35,308.26,365.0,1991.0,2024.0
Brazil,Americas,Dairy & Eggs,65.18,0.0,275.37,309.77,401.6,204.0,1991.0,2024.0
Brazil,Americas,Fibers,81.94,0.0,605.58,2049.47,83.73,306.0,1991.0,2024.0
Brazil,Americas,Fruits,81.68,0.0,576.12,246.29,318.53,816.0,1991.0,2024.0
Brazil,Americas,Meat,72.21,0.0,140.96,79.02,1.49,646.0,1991.0,2024.0
Brazil,Americas,Nuts,72.4,0.0,248.41,629.68,-11.47,170.0,1991.0,2024.0
Brazil,Americas,Oilseeds,87.12,0.0,420.9,466.0,110.42,476.0,1991.0,2024.0
Brazil,Americas,Other,81.08,0.0,251.13,767.06,182.21,34.0,1991.0,2024.0
Brazil,Americas,Other Industrial,72.43,0.0,321.19,1215.24,12.39,271.0,1991.0,2024.0
Brazil,Americas,Pulses,65.26,0.0,215.16,317.92,150.86,136.0,1991.0,2024.0
Brazil,Americas,Roots & Tubers,78.44,0.0,387.9,206.29,346.77,136.0,1991.0,2024.0
Brazil,Americas,Spices,75.78,0.0,208.39,928.55,90.58,34.0,1991.0,2024.0
Brazil,Americas,Sugar Crops,74.01,0.0,262.92,568.93,258.57,34.0,1991.0,2024.0
Brazil,Americas,Vegetables,67.09,0.0,299.1,1014.4,405.53,238.0,1991.0,2024.0
Brunei Darussalam,Asia,Aggregates,86.44,66.83,112.45,15.16,23.26,68.0,1991.0,2024.0
Brunei Darussalam,Asia,Cereals,140.13,19.08,253.99,312.25,-44.79,102.0,1991.0,2024.0
