Area,Region,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
Saint Lucia,Americas,85.7,8.44,393.05,90.69,38.93,2006.0,1991.0,2024.0
Saint Vincent and the Grenadines,Americas,104.95,9.45,292.94,64.97,33.57,860.0,2008.0,2024.0
Samoa,Oceania,127.01,32.97,660.8,137.34,,235.0,2012.0,2024.0
Saudi Arabia,Asia,87.83,20.62,316.71,48.2,31.55,1900.0,1991.0,2024.0
Senegal,Africa,88.93,2.5,699.47,291.26,104.23,1869.0,1991.0,2024.0
Serbia,Europe,103.63,17.12,465.31,44.54,69.92,1577.0,2006.0,2024.0
Seychelles,Africa,100.89,24.59,221.66,39.94,260.17,552.0,2008.0,2024.0
Sierra Leone,Africa,91.74,0.49,214.69,308.19,,412.0,1993.0,2024.0
Singapore,Asia,93.64,21.22,197.89,43.38,92.41,1335.0,1991.0,2024.0
Slovakia,Europe,97.64,10.1,437.24,49.79,43.22,3508.0,1993.0,2024.0
Slovenia,Europe,86.15,6.83,335.4,63.22,67.98,2956.0,1992.0,2024.0
South Africa,Africa,68.46,0.6,557.04,86.57,165.54,4007.0,1991.0,2024.0
Spain,Europe,96.4,12.57,640.97,66.59,49.76,5029.0,1991.0,2024.0
Sri Lanka,Asia,79.39,3.47,1053.18,70.7,224.86,2786.0,1991.0,2024.0
Suriname,Americas,139.07,0.0,3853.12,206.17,1574.23,2278.0,1991.0,2024.0
Sweden,Europe,95.3,15.63,254.38,43.81,60.79,2129.0,1991.0,2024.0
Switzerland,Europe,107.35,16.79,428.57,61.89,12.11,3040.0,1991.0,2024.0
Syrian Arab Republic,Asia,88.37,0.39,1815.35,697.62,1380.33,3970.0,1991.0,2024.0
Tajikistan,Asia,68.75,0.18,303.47,79.94,21.02,2731.0,1993.0,2024.0
Thailand,Asia,77.8,6.48,369.93,70.61,-2.75,3875.0,1991.0,2024.0
Timor-Leste,Asia,99.4,13.84,251.24,43.25,190.87,680.0,2008.0,2024.0
Togo,Africa,79.2,10.25,260.86,56.62,52.71,2431.0,1991.0,2024.0
